station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,skyc1,skyl1,wxcodes,feel,metar,day,month,year,hr,min
VABB,2022-10-30 00:00:00,72.8585,19.1005,8.0,77.0,55.4,47.25,80.0,3.0,0.0,29.85,1.55,NSC,,FU,77.0,VABB 300000Z 08003KT 2500 FU NSC 25/13 Q1011 NOSIG,30,10,2022,0,0
VABB,2022-10-30 00:30:00,72.8585,19.1005,8.0,78.8,53.6,41.69,60.0,4.0,0.0,29.88,1.55,NSC,,FU,78.8,VABB 300030Z 06004KT 2500 FU NSC 26/12 Q1012 NOSIG,30,10,2022,0,30
VABB,2022-10-30 01:00:00,72.8585,19.1005,8.0,77.0,53.6,44.25,90.0,4.0,0.0,29.88,1.55,NSC,,FU,77.0,VABB 300100Z 09004KT 2500 FU NSC 25/12 Q1012 NOSIG,30,10,2022,1,0
VABB,2022-10-30 01:30:00,72.8585,19.1005,8.0,75.2,53.6,46.98,120.0,4.0,0.0,29.91,1.55,NSC,,FU,75.2,VABB 300130Z 12004KT 2500 FU NSC 24/12 Q1013 NOSIG,30,10,2022,1,30
VABB,2022-10-30 02:00:00,72.8585,19.1005,8.0,75.2,53.6,46.98,100.0,4.0,0.0,29.91,1.55,NSC,,FU,75.2,VABB 300200Z 10004KT 2500 FU NSC 24/12 Q1013 NOSIG,30,10,2022,2,0
VABB,2022-10-30 02:30:00,72.8585,19.1005,8.0,80.6,57.2,44.8,110.0,5.0,0.0,29.94,1.55,NSC,,FU,80.81,VABB 300230Z 11005KT 2500 FU NSC 27/14 Q1014 NOSIG,30,10,2022,2,30
VABB,2022-10-30 03:00:00,72.8585,19.1005,8.0,82.4,57.2,42.25,100.0,7.0,0.0,29.94,1.55,NSC,,FU,82.08,VABB 300300Z 10007KT 2500 FU NSC 28/14 Q1014 NOSIG,30,10,2022,3,0
VABB,2022-10-30 03:30:00,72.8585,19.1005,8.0,84.2,57.2,39.86,90.0,6.0,0.0,29.94,1.55,NSC,,FU,83.47,VABB 300330Z 09006KT 2500 FU NSC 29/14 Q1014 BECMG 3000 FU,30,10,2022,3,30
VABB,2022-10-30 04:00:00,72.8585,19.1005,8.0,86.0,55.4,35.25,90.0,8.0,0.0,29.94,1.86,NSC,,FU,84.54,VABB 300400Z 09008KT 3000 FU NSC 30/13 Q1014 NOSIG,30,10,2022,4,0
VABB,2022-10-30 04:30:00,72.8585,19.1005,8.0,89.6,53.6,29.45,100.0,6.0,0.0,29.94,1.86,NSC,,FU,87.36,VABB 300430Z 10006KT 3000 FU NSC 32/12 Q1014 NOSIG,30,10,2022,4,30
VABB,2022-10-30 05:00:00,72.8585,19.1005,8.0,87.8,53.6,31.17,80.0,8.0,0.0,29.94,1.86,NSC,,FU,85.72,VABB 300500Z 08008KT 3000 FU NSC 31/12 Q1014 NOSIG,30,10,2022,5,0
VABB,2022-10-30 05:30:00,72.8585,19.1005,8.0,87.8,51.8,29.18,90.0,5.0,0.0,29.94,1.86,NSC,,FU,85.39,VABB 300530Z 09005KT 3000 FU NSC 31/11 Q1014 NOSIG,30,10,2022,5,30
VABB,2022-10-30 06:00:00,72.8585,19.1005,8.0,91.4,51.8,26.05,80.0,7.0,0.0,29.91,2.17,NSC,,FU,88.69,VABB 300600Z 08007KT 3500 FU NSC 33/11 Q1013 NOSIG,30,10,2022,6,0
VABB,2022-10-30 06:30:00,72.8585,19.1005,8.0,91.4,48.2,22.78,120.0,9.0,0.0,29.91,2.49,NSC,,FU,88.09,VABB 300630Z 12009KT 4000 FU NSC 33/09 Q1013 NOSIG,30,10,2022,6,30
VABB,2022-10-30 07:00:00,72.8585,19.1005,8.0,91.4,46.4,21.29,120.0,6.0,0.0,29.88,2.49,NSC,,FU,87.86,VABB 300700Z 12006KT 4000 FU NSC 33/08 Q1012 NOSIG,30,10,2022,7,0
VABB,2022-10-30 07:30:00,72.8585,19.1005,8.0,91.4,48.2,22.78,90.0,7.0,0.0,29.88,2.49,NSC,,FU,88.09,VABB 300730Z 09007KT 4000 FU NSC 33/09 Q1012 BECMG 5000 FU,30,10,2022,7,30
