station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,skyc1,skyl1,wxcodes,feel,metar,day,month,year,hr,min
VTBS,2022-10-06 00:00:00,100.9819,13.3553,2.0,80.6,75.2,83.66,0.0,0.0,0.0,29.85,5.59,FEW,1100.0,HZ,86.17,VTBS 060000Z 00000KT 9000 FEW011 SCT020 27/24 Q1011 NOSIG,6,10,2022,0,0
VTBS,2022-10-06 00:30:00,100.9819,13.3553,2.0,80.6,77.0,88.83,,2.0,0.0,29.85,5.59,FEW,800.0,HZ,87.59,VTBS 060030Z VRB02KT 9000 FEW008 27/25 Q1011 NOSIG,6,10,2022,0,30
VTBS,2022-10-06 01:00:00,100.9819,13.3553,2.0,82.4,77.0,83.77,10.0,3.0,0.0,29.85,5.59,FEW,800.0,HZ,90.85,VTBS 060100Z 01003KT 9000 FEW008 28/25 Q1011 NOSIG,6,10,2022,1,0
VTBS,2022-10-06 01:30:00,100.9819,13.3553,2.0,84.2,75.2,74.44,100.0,5.0,0.0,29.88,5.59,FEW,900.0,HZ,92.45,VTBS 060130Z 10005KT 050V180 9000 FEW009 29/24 Q1012 NOSIG,6,10,2022,1,30
VTBS,2022-10-06 02:00:00,100.9819,13.3553,2.0,84.2,77.0,79.04,90.0,5.0,0.0,29.88,5.59,FEW,1000.0,HZ,94.16,VTBS 060200Z 09005KT 050V130 9000 FEW010 SCT020 29/25 Q1012 NOSIG,6,10,2022,2,0
VTBS,2022-10-06 02:30:00,100.9819,13.3553,2.0,84.2,75.2,74.44,90.0,4.0,0.0,29.88,6.21,FEW,1000.0,HZ,92.45,VTBS 060230Z 09004KT 040V180 9999 FEW010 SCT020 29/24 Q1012 NOSIG,6,10,2022,2,30
VTBS,2022-10-06 03:00:00,100.9819,13.3553,2.0,86.0,73.4,66.15,100.0,6.0,0.0,29.88,6.21,SCT,2000.0,HZ,93.45,VTBS 060300Z 10006KT 050V170 9999 SCT020 30/23 Q1012 NOSIG,6,10,2022,3,0
VTBS,2022-10-06 03:30:00,100.9819,13.3553,2.0,86.0,73.4,66.15,100.0,5.0,0.0,29.88,6.21,SCT,2000.0,HZ,93.45,VTBS 060330Z 10005KT 060V170 9999 SCT020 30/23 Q1012 NOSIG,6,10,2022,3,30
VTBS,2022-10-06 04:00:00,100.9819,13.3553,2.0,86.0,73.4,66.15,90.0,6.0,0.0,29.88,6.21,FEW,2000.0,HZ,93.45,VTBS 060400Z 09006KT 070V130 9999 FEW020 30/23 Q1012 NOSIG,6,10,2022,4,0
VTBS,2022-10-06 04:30:00,100.9819,13.3553,2.0,86.0,73.4,66.15,90.0,7.0,0.0,29.85,6.21,FEW,2000.0,HZ,93.45,VTBS 060430Z 09007KT 060V150 9999 FEW020 30/23 Q1011 NOSIG,6,10,2022,4,30
VTBS,2022-10-06 05:00:00,100.9819,13.3553,2.0,87.8,73.4,62.47,90.0,7.0,0.0,29.85,6.21,SCT,2000.0,HZ,95.86,VTBS 060500Z 09007KT 060V130 9999 SCT020 31/23 Q1011 NOSIG,6,10,2022,5,0
VTBS,2022-10-06 05:30:00,100.9819,13.3553,2.0,87.8,73.4,62.47,80.0,9.0,0.0,29.85,6.21,SCT,2000.0,HZ,95.86,VTBS 060530Z 08009KT 060V140 9999 SCT020 31/23 Q1011 NOSIG,6,10,2022,5,30
VTBS,2022-10-06 06:00:00,100.9819,13.3553,2.0,87.8,73.4,62.47,70.0,9.0,0.0,29.83,6.21,FEW,2000.0,HZ,95.86,VTBS 060600Z 07009KT 040V130 9999 FEW020 31/23 Q1010 NOSIG,6,10,2022,6,0
VTBS,2022-10-06 06:30:00,100.9819,13.3553,2.0,89.6,75.2,62.68,90.0,8.0,0.0,29.8,6.21,FEW,2000.0,HZ,100.23,VTBS 060630Z 09008KT 040V150 9999 FEW020 32/24 Q1009 NOSIG,6,10,2022,6,30
VTBS,2022-10-06 07:00:00,100.9819,13.3553,2.0,87.8,73.4,62.47,80.0,6.0,0.0,29.77,6.21,FEW,2000.0,HZ,95.86,VTBS 060700Z 08006KT 030V130 9999 FEW020 31/23 Q1008 NOSIG,6,10,2022,7,0
VTBS,2022-10-06 07:30:00,100.9819,13.3553,2.0,89.6,71.6,55.53,,4.0,0.0,29.77,6.21,FEW,2000.0,HZ,96.41,VTBS 060730Z VRB04KT 9999 FEW020 32/22 Q1008 NOSIG,6,10,2022,7,30
VTBS,2022-10-06 08:00:00,100.9819,13.3553,2.0,87.8,71.6,58.78,110.0,15.0,0.0,29.77,6.21,SCT,1800.0,VCSH,94.18,VTBS 060800Z 11015G25KT 070V170 9999 VCSH SCT018CB BKN030 31/22 Q1008 WS ALL RWY TEMPO FM0810 TL0900 2000 +TSRA,6,10,2022,8,0
VTBS,2022-10-06 08:30:00,100.9819,13.3553,2.0,80.6,71.6,74.11,190.0,18.0,0.0,29.77,1.86,SCT,1800.0,TSRA,84.57,VTBS 060830Z 19018KT 3000 TSRA SCT018CB BKN030 BKN100 27/22 Q1008 TEMPO TL0850 1500 +TSRA,6,10,2022,8,30
VTBS,2022-10-06 09:00:00,100.9819,13.3553,2.0,75.2,71.6,88.59,220.0,7.0,0.0,29.77,4.35,FEW,1800.0,-RA,75.2,VTBS 060900Z 22007KT 190V250 7000 -RA FEW018CB BKN030 24/22 Q1008 RETSRA BECMG TL0930 NSW,6,10,2022,9,0
VTBS,2022-10-06 09:30:00,100.9819,13.3553,2.0,77.0,71.6,83.44,220.0,6.0,0.0,29.77,6.21,FEW,2000.0,-RA,77.0,VTBS 060930Z 22006KT 9999 -RA FEW020CB SCT040 25/22 Q1008 NOSIG,6,10,2022,9,30
VTBS,2022-10-06 10:00:00,100.9819,13.3553,2.0,78.8,73.4,83.55,210.0,4.0,0.0,29.77,6.21,FEW,2000.0,HZ,78.8,VTBS 061000Z 21004KT 9999 FEW020 SCT070 26/23 Q1008 NOSIG,6,10,2022,10,0
VTBS,2022-10-06 10:30:00,100.9819,13.3553,2.0,78.8,73.4,83.55,,2.0,0.0,29.8,6.21,FEW,2000.0,HZ,78.8,VTBS 061030Z VRB02KT 9999 FEW020 SCT040 BKN100 26/23 Q1009 NOSIG,6,10,2022,10,30
