Time,Latitude,Longitude,Course,kts,mph,Altitude(m),Rate,Reporting Facility,Time Diff,m/s,Dist from lp,tilt,TrajectoryId,FlightId,Origin,Destination
Mon 13:09:25,28.5697,77.1224,94.0,175.0,201.0,411.0,0.0, FlightAware ADS-B  (DEL / VIDP) ,0.0,89.33333333333333,0.0,0.0,OnGoing,IGO2009,VIDP,VABB
Mon 13:09:41,28.5692,77.1372,92.0,194.0,223.0,533.0,485.0, FlightAware ADS-B  (VIDX) ,16.0,99.11111111111111,1585.7777777777778,4.412345245860212,OnGoing,IGO2009,VIDP,VABB
Mon 13:09:58,28.5691,77.1568,90.0,219.0,252.0,678.0,513.0, Surface and Near-Surface ,17.0,112.0,1904.0,4.36761530475936,OnGoing,IGO2009,VIDP,VABB
Mon 13:10:14,28.5689,77.1752,91.0,243.0,280.0,815.0,557.0, FlightAware ADS-B  (VIDX) ,16.0,124.44444444444444,1991.111111111111,3.9453994136578134,OnGoing,IGO2009,VIDP,VABB
Mon 13:10:30,28.5686,77.1968,91.0,264.0,304.0,975.0,714.0, FlightAware ADS-B  (DEL / VIDP) ,16.0,135.11111111111111,2161.777777777778,4.244522819681638,OnGoing,IGO2009,VIDP,VABB
Mon 13:10:46,28.5681,77.2183,92.0,270.0,311.0,1196.0,900.0, FlightAware ADS-B  (VIDD) ,16.0,138.22222222222223,2211.5555555555557,5.735120140210302,OnGoing,IGO2009,VIDP,VABB
Mon 13:11:02,28.5674,77.2422,92.0,279.0,321.0,1455.0,955.0, FlightAware ADS-B  (DEL / VIDP) ,16.0,142.66666666666666,2282.6666666666665,6.515026449957551,OnGoing,IGO2009,VIDP,VABB
Mon 13:11:20,28.5666,77.2692,92.0,286.0,329.0,1737.0,985.0, FlightAware ADS-B  (DEL / VIDP) ,18.0,146.22222222222223,2632.0,6.150639827941038,OnGoing,IGO2009,VIDP,VABB
Mon 13:11:41,28.5654,77.3001,96.0,291.0,335.0,2096.0,1032.0, FlightAware ADS-B  (DEL / VIDP) ,21.0,148.88888888888889,3126.6666666666665,6.593171709068548,OnGoing,IGO2009,VIDP,VABB
Mon 13:11:59,28.5563,77.3267,125.0,296.0,341.0,2408.0,803.0, FlightAware ADS-B  (DEL / VIDP) ,18.0,151.55555555555554,2728.0,6.56726020559683,OnGoing,IGO2009,VIDP,VABB
