Time,Latitude,Longitude,Course,kts,mph,Altitude(m),Rate,Reporting Facility,Time Diff,m/s,Dist from lp,tilt,TrajectoryId,FlightId,Origin,Destination
Thu 05:07:51,25.2947,51.6098,340.0,175.0,201.0,137.0,0.0, FlightAware ADS-B  (DIA / OTBD) ,0.0,89.33333333333333,0.0,0.0,1,QTR834,OTHH,VTBS
Thu 05:08:07,25.3071,51.6046,338.0,175.0,201.0,251.0,414.0, FlightAware ADS-B  (DOH / OTHH) ,16.0,89.33333333333333,1429.3333333333333,4.574624824372468,1,QTR834,OTHH,VTBS
Thu 05:08:23,25.3194,51.599,338.0,176.0,203.0,358.0,314.0, FlightAware ADS-B  (DIA / OTBD) ,16.0,90.22222222222223,1443.5555555555557,4.250807039144076,1,QTR834,OTHH,VTBS
Thu 05:08:39,25.3319,51.5934,338.0,189.0,217.0,419.0,300.0, FlightAware ADS-B  (DIA / OTBD) ,16.0,96.44444444444444,1543.111111111111,2.26552283110295,1,QTR834,OTHH,VTBS
Thu 05:08:55,25.3455,51.5891,358.0,193.0,222.0,518.0,457.0, FlightAware ADS-B  (DOH / OTHH) ,16.0,98.66666666666667,1578.6666666666667,3.595443403491391,1,QTR834,OTHH,VTBS
Thu 05:09:12,25.3602,51.5942,37.0,194.0,223.0,671.0,429.0, FlightAware ADS-B  (DIA / OTBD) ,17.0,99.11111111111111,1684.888888888889,5.210044959775059,1,QTR834,OTHH,VTBS
Thu 05:09:28,25.3686,51.6058,70.0,212.0,244.0,754.0,280.0, FlightAware ADS-B  (DOH / OTHH) ,16.0,108.44444444444444,1735.111111111111,2.741821650010801,1,QTR834,OTHH,VTBS
Thu 05:09:56,25.3705,51.6392,92.0,245.0,282.0,876.0,268.0, FlightAware ADS-B  (DIA / OTBD) ,28.0,125.33333333333333,3509.333333333333,1.9922569900000973,1,QTR834,OTHH,VTBS
Thu 05:10:14,25.3693,51.6624,99.0,267.0,307.0,960.0,446.0, FlightAware ADS-B  (DOH / OTHH) ,18.0,136.44444444444446,2456.0,1.9600098927957523,1,QTR834,OTHH,VTBS
Thu 05:10:35,25.3626,51.6904,106.0,273.0,314.0,1166.0,617.0, FlightAware ADS-B  (DOH / OTHH) ,21.0,139.55555555555554,2930.6666666666665,4.0307114433424855,1,QTR834,OTHH,VTBS
Thu 05:10:54,25.3558,51.7163,106.0,275.0,316.0,1372.0,644.0, FlightAware ADS-B  (DIA / OTBD) ,19.0,140.44444444444446,2668.444444444445,4.427555402582411,1,QTR834,OTHH,VTBS
Thu 05:11:24,25.3455,51.7571,105.0,278.0,320.0,1692.0,494.0, FlightAware ADS-B  (DIA / OTBD) ,30.0,142.22222222222223,4266.666666666667,4.301222304670365,1,QTR834,OTHH,VTBS
Thu 05:11:56,25.3336,51.8046,106.0,304.0,350.0,1882.0,332.0, FlightAware ADS-B  (DOH / OTHH) ,32.0,155.55555555555554,4977.777777777777,2.187490827782351,1,QTR834,OTHH,VTBS
Thu 05:12:26,25.3221,51.8501,106.0,328.0,377.0,2035.0,229.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,167.55555555555554,5026.666666666666,1.7442191807082101,1,QTR834,OTHH,VTBS
Thu 05:12:56,25.31,51.8978,106.0,343.0,395.0,2111.0,168.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,175.55555555555554,5266.666666666666,0.8268285538504232,1,QTR834,OTHH,VTBS
Thu 05:13:26,25.2964,51.9515,106.0,344.0,396.0,2202.0,298.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,176.0,5280.0,0.9875329723105513,1,QTR834,OTHH,VTBS
Thu 05:13:42,25.2899,51.9771,105.0,346.0,398.0,2339.0,547.0, FlightAware ADS-B  (DOH / OTHH) ,16.0,176.88888888888889,2830.222222222222,2.774549080521737,1,QTR834,OTHH,VTBS
Thu 05:14:12,25.2772,52.027,106.0,350.0,403.0,2621.0,607.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,179.11111111111111,5373.333333333333,3.0083441835507565,1,QTR834,OTHH,VTBS
Thu 05:14:43,25.2629,52.0834,106.0,355.0,409.0,2957.0,614.0, FlightAware ADS-B  (DOH / OTHH) ,31.0,181.77777777777777,5635.111111111111,3.418354520780371,1,QTR834,OTHH,VTBS
Thu 05:15:13,25.2501,52.1341,106.0,357.0,411.0,3246.0,555.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,182.66666666666666,5480.0,3.0230228741697185,1,QTR834,OTHH,VTBS
Thu 05:15:44,25.2367,52.187,106.0,364.0,419.0,3520.0,595.0, FlightAware ADS-B  (DIA / OTBD) ,31.0,186.22222222222223,5772.888888888889,2.7204653047130605,1,QTR834,OTHH,VTBS
