Time,Latitude,Longitude,Course,kts,mph,Altitude(m),Rate,Reporting Facility,Time Diff,m/s,Dist from lp,tilt,TrajectoryId,FlightId,Origin,Destination
Fri 11:52:46,25.2819,51.6152,338.0,158.0,182.0,37.0,257.0, FlightAware ADS-B  (DIA / OTBD) ,0.0,80.88888888888889,0.0,0.0,OnGoing,QTR834,OTHH,VTBS
Fri 11:53:02,25.2925,51.6102,335.0,160.0,184.0,130.0,381.0, FlightAware ADS-B  (DIA / OTBD) ,16.0,81.77777777777777,1308.4444444444443,4.075835445718462,OnGoing,QTR834,OTHH,VTBS
Fri 11:53:21,25.3058,51.6037,338.0,160.0,184.0,259.0,418.0, FlightAware ADS-B  (DIA / OTBD) ,19.0,81.77777777777777,1553.7777777777776,4.762375408312262,OnGoing,QTR834,OTHH,VTBS
Fri 11:53:37,25.3164,51.5991,339.0,158.0,182.0,373.0,314.0, FlightAware ADS-B  (DIA / OTBD) ,16.0,80.88888888888889,1294.2222222222222,5.053378556311121,OnGoing,QTR834,OTHH,VTBS
Fri 11:53:53,25.328,51.5943,339.0,175.0,201.0,427.0,200.0, FlightAware ADS-B  (DOH / OTHH) ,16.0,89.33333333333333,1429.3333333333333,2.1651412640405754,OnGoing,QTR834,OTHH,VTBS
Fri 11:54:09,25.3403,51.5899,349.0,196.0,226.0,480.0,229.0, FlightAware ADS-B  (DIA / OTBD) ,16.0,100.44444444444444,1607.111111111111,1.8898674766205912,OnGoing,QTR834,OTHH,VTBS
Fri 11:54:25,25.3574,51.5907,17.0,224.0,258.0,549.0,305.0, FlightAware ADS-B  (DIA / OTBD) ,16.0,114.66666666666667,1834.6666666666667,2.1553459421568477,OnGoing,QTR834,OTHH,VTBS
Fri 11:54:42,25.3723,51.601,47.0,252.0,290.0,648.0,538.0, FlightAware ADS-B  (DOH / OTHH) ,17.0,128.88888888888889,2191.111111111111,2.5896513771073018,OnGoing,QTR834,OTHH,VTBS
Fri 11:54:59,25.3811,51.6208,81.0,271.0,312.0,853.0,709.0, FlightAware ADS-B  (DOH / OTHH) ,17.0,138.66666666666666,2357.333333333333,4.988895566265687,OnGoing,QTR834,OTHH,VTBS
Fri 11:55:31,25.3748,51.6651,103.0,284.0,327.0,1227.0,705.0, FlightAware ADS-B  (DOH / OTHH) ,32.0,145.33333333333334,4650.666666666667,4.612626008840757,OnGoing,QTR834,OTHH,VTBS
Fri 11:55:47,25.3698,51.689,103.0,287.0,330.0,1417.0,646.0, FlightAware ADS-B  (DOH / OTHH) ,16.0,146.66666666666666,2346.6666666666665,4.644088368538527,OnGoing,QTR834,OTHH,VTBS
Fri 11:56:17,25.3613,51.7324,102.0,294.0,338.0,1722.0,648.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,150.22222222222223,4506.666666666667,3.8806021710971685,OnGoing,QTR834,OTHH,VTBS
Fri 11:56:47,25.3527,51.776,102.0,297.0,342.0,2065.0,666.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,152.0,4560.0,4.313822761376599,OnGoing,QTR834,OTHH,VTBS
Fri 11:57:03,25.348,51.8008,102.0,301.0,346.0,2233.0,606.0, FlightAware ADS-B  (DIA / OTBD) ,16.0,153.77777777777777,2460.4444444444443,3.915221986632609,OnGoing,QTR834,OTHH,VTBS
Fri 11:57:33,25.3392,51.8459,102.0,307.0,353.0,2530.0,594.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,156.88888888888889,4706.666666666667,3.6178810020642693,OnGoing,QTR834,OTHH,VTBS
Fri 11:58:03,25.3305,51.8901,102.0,311.0,358.0,2827.0,567.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,159.11111111111111,4773.333333333333,3.567286080614976,OnGoing,QTR834,OTHH,VTBS
Fri 11:58:48,25.3164,51.962,103.0,329.0,379.0,3239.0,445.0, FlightAware ADS-B  (DOH / OTHH) ,45.0,168.44444444444446,7580.000000000001,3.1157651463978557,OnGoing,QTR834,OTHH,VTBS
Fri 11:59:18,25.3019,52.0132,108.0,356.0,410.0,3383.0,270.0, FlightAware ADS-B  (DIA / OTBD) ,30.0,182.22222222222223,5466.666666666667,1.5094292728129914,OnGoing,QTR834,OTHH,VTBS
Fri 11:59:49,25.2858,52.0687,108.0,380.0,437.0,3513.0,354.0, FlightAware ADS-B  (DIA / OTBD) ,31.0,194.22222222222223,6020.888888888889,1.2371977512344843,OnGoing,QTR834,OTHH,VTBS
Fri 12:00:20,25.2689,52.1266,108.0,389.0,448.0,3749.0,420.0, FlightAware ADS-B  (DOH / OTHH) ,31.0,199.11111111111111,6172.444444444444,2.191206544269003,OnGoing,QTR834,OTHH,VTBS
Fri 12:00:50,25.2521,52.1842,108.0,400.0,460.0,3940.0,488.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,204.44444444444446,6133.333333333334,1.784553824640213,OnGoing,QTR834,OTHH,VTBS
Fri 12:01:20,25.235,52.2428,108.0,398.0,458.0,4237.0,579.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,203.55555555555554,6106.666666666666,2.7877012454998487,OnGoing,QTR834,OTHH,VTBS
Fri 12:01:50,25.2184,52.3001,108.0,398.0,458.0,4519.0,525.0, FlightAware ADS-B  (DOH / OTHH) ,30.0,203.55555555555554,6106.666666666666,2.646805343301489,OnGoing,QTR834,OTHH,VTBS
Fri 12:02:21,25.2009,52.3601,108.0,400.0,460.0,4770.0,478.0, FlightAware ADS-B  (DOH / OTHH) ,31.0,204.44444444444446,6337.777777777778,2.2697234295695186,OnGoing,QTR834,OTHH,VTBS
Fri 12:02:55,25.1813,52.4273,108.0,404.0,465.0,5037.0,471.0, FlightAware ADS-B  (DIA / OTBD) ,34.0,206.66666666666666,7026.666666666666,2.1776551520586396,OnGoing,QTR834,OTHH,VTBS
Fri 12:03:28,25.1626,52.4913,108.0,405.0,466.0,5296.0,377.0, FlightAware ADS-B  (DIA / OTBD) ,33.0,207.11111111111111,6834.666666666667,2.171746130814667,OnGoing,QTR834,OTHH,VTBS
Fri 12:03:58,25.1451,52.5512,108.0,416.0,479.0,5433.0,282.0, FlightAware ADS-B  (DWC / OMDW) ,30.0,212.88888888888889,6386.666666666667,1.2291425732990355,OnGoing,QTR834,OTHH,VTBS
Fri 12:04:15,25.1341,52.5867,111.0,421.0,484.0,5517.0,377.0, FlightAware ADS-B  (DIA / OTBD) ,17.0,215.11111111111111,3656.888888888889,1.316219596739067,OnGoing,QTR834,OTHH,VTBS
Fri 12:05:01,25.0942,52.6747,116.0,425.0,489.0,5829.0,368.0, FlightAware ADS-B  (DOH / OTHH) ,46.0,217.33333333333334,9997.333333333334,1.7883955330984034,OnGoing,QTR834,OTHH,VTBS
Fri 12:05:32,25.0679,52.7341,116.0,431.0,496.0,5989.0,317.0, FlightAware ADS-B  (DOH / OTHH) ,31.0,220.44444444444446,6833.777777777778,1.341595055435326,OnGoing,QTR834,OTHH,VTBS
Fri 12:05:50,25.0533,52.772,108.0,433.0,498.0,6088.0,297.0, FlightAware ADS-B  (DIA / OTBD) ,18.0,221.33333333333334,3984.0,1.4239121735459568,OnGoing,QTR834,OTHH,VTBS
Fri 12:06:29,25.0349,52.8547,104.0,440.0,506.0,6271.0,332.0, FlightAware ADS-B  (DOH / OTHH) ,39.0,224.88888888888889,8770.666666666666,1.1955634593257054,OnGoing,QTR834,OTHH,VTBS
Fri 12:07:03,25.0176,52.9296,104.0,443.0,510.0,6492.0,348.0, FlightAware ADS-B  (DWC / OMDW) ,34.0,226.66666666666666,7706.666666666666,1.643266009086848,OnGoing,QTR834,OTHH,VTBS
Fri 12:07:36,25.0007,53.0033,104.0,448.0,516.0,6660.0,322.0, FlightAware ADS-B  (DOH / OTHH) ,33.0,229.33333333333334,7568.0,1.2719981101296882,OnGoing,QTR834,OTHH,VTBS
Fri 12:08:07,24.9852,53.0719,104.0,451.0,519.0,6835.0,369.0, FlightAware ADS-B  (DOH / OTHH) ,31.0,230.66666666666666,7150.666666666666,1.4023535225715922,OnGoing,QTR834,OTHH,VTBS
Fri 12:08:38,24.9695,53.1408,104.0,452.0,520.0,7041.0,352.0, FlightAware ADS-B  (DIA / OTBD) ,31.0,231.11111111111111,7164.444444444444,1.6476584617373924,OnGoing,QTR834,OTHH,VTBS
Fri 12:09:12,24.9523,53.2151,104.0,457.0,526.0,7216.0,288.0, FlightAware ADS-B  (DWC / OMDW) ,34.0,233.77777777777777,7948.444444444444,1.2615766178141963,OnGoing,QTR834,OTHH,VTBS
Fri 12:09:43,24.9358,53.2867,104.0,463.0,533.0,7353.0,285.0, FlightAware ADS-B  (DXB / OMDB) ,31.0,236.88888888888889,7343.555555555556,1.0689613674183522,OnGoing,QTR834,OTHH,VTBS
Fri 12:10:13,24.9203,53.3533,104.0,465.0,535.0,7506.0,247.0, FlightAware ADS-B  (RKT / OMRK) ,30.0,237.77777777777777,7133.333333333333,1.2290083943091352,OnGoing,QTR834,OTHH,VTBS
Fri 12:10:44,24.9035,53.4256,104.0,475.0,547.0,7605.0,247.0, FlightAware ADS-B  (DOH / OTHH) ,31.0,243.11111111111111,7536.444444444444,0.7526686304241158,OnGoing,QTR834,OTHH,VTBS
Fri 12:11:14,24.886,53.4933,107.0,476.0,548.0,7757.0,326.0, FlightAware ADS-B  (RKT / OMRK) ,30.0,243.55555555555554,7306.666666666666,1.1920054870380608,OnGoing,QTR834,OTHH,VTBS
Fri 12:11:47,24.8637,53.5711,107.0,478.0,550.0,7948.0,322.0, FlightAware ADS-B  (DXB / OMDB) ,33.0,244.44444444444446,8066.666666666667,1.3567582676053263,OnGoing,QTR834,OTHH,VTBS
Fri 12:12:18,24.8438,53.6423,107.0,484.0,557.0,8100.0,292.0, FlightAware ADS-B  (NHD / OMDM) ,31.0,247.55555555555554,7674.222222222222,1.1349069332675072,OnGoing,QTR834,OTHH,VTBS
Fri 12:12:48,24.8232,53.7174,107.0,489.0,563.0,8245.0,307.0, FlightAware ADS-B  (DIA / OTBD) ,30.0,250.22222222222223,7506.666666666667,1.1068034744159352,OnGoing,QTR834,OTHH,VTBS
Fri 12:13:19,24.8034,53.7899,106.0,492.0,566.0,8412.0,315.0, FlightAware ADS-B  (DIA / OTBD) ,31.0,251.55555555555554,7798.222222222222,1.2270907925216812,OnGoing,QTR834,OTHH,VTBS
Fri 12:13:46,24.7897,53.8549,100.0,496.0,571.0,8550.0,336.0, FlightAware ADS-B  (DXB / OMDB) ,27.0,253.77777777777777,6852.0,1.1540210453403474,OnGoing,QTR834,OTHH,VTBS
Fri 12:14:08,24.7825,53.911,96.0,498.0,573.0,8687.0,349.0, FlightAware ADS-B  (AZI / OMAD) ,22.0,254.66666666666666,5602.666666666666,1.4011728195155946,OnGoing,QTR834,OTHH,VTBS
Fri 12:14:45,24.7786,54.0027,89.0,502.0,578.0,8893.0,337.0, FlightAware ADS-B  (DOH / OTHH) ,37.0,256.8888888888889,9504.88888888889,1.2418719385261696,OnGoing,QTR834,OTHH,VTBS
Fri 12:15:05,24.7809,54.0546,85.0,504.0,580.0,9007.0,307.0, FlightAware ADS-B  (DOH / OTHH) ,20.0,257.77777777777777,5155.555555555556,1.2670314934890823,OnGoing,QTR834,OTHH,VTBS
Fri 12:15:49,24.7954,54.1668,82.0,512.0,589.0,9220.0,290.0, FlightAware ADS-B  (DXB / OMDB) ,44.0,261.77777777777777,11518.222222222223,1.059598996736425,OnGoing,QTR834,OTHH,VTBS
Fri 12:16:19,24.8049,54.2445,82.0,518.0,596.0,9365.0,356.0, FlightAware ADS-B  (DXB / OMDB) ,30.0,264.8888888888889,7946.666666666668,1.0455137294327168,OnGoing,QTR834,OTHH,VTBS
Fri 12:16:52,24.8159,54.3307,82.0,518.0,596.0,9594.0,479.0, FlightAware ADS-B  (AZI / OMAD) ,33.0,264.8888888888889,8741.333333333334,1.50117084780652,OnGoing,QTR834,OTHH,VTBS
Fri 12:17:22,24.8263,54.4102,82.0,514.0,592.0,9868.0,494.0, FlightAware ADS-B  (DXB / OMDB) ,30.0,263.1111111111111,7893.333333333332,1.9892987507487234,OnGoing,QTR834,OTHH,VTBS
Fri 12:17:54,24.8367,54.4914,82.0,513.0,590.0,10104.0,406.0, FlightAware ADS-B  (AZI / OMAD) ,32.0,262.22222222222223,8391.111111111111,1.6116563206667296,OnGoing,QTR834,OTHH,VTBS
Fri 12:18:24,24.8465,54.5679,82.0,515.0,593.0,10287.0,389.0, FlightAware ADS-B  (RKT / OMRK) ,30.0,263.55555555555554,7906.666666666666,1.3262306926822605,OnGoing,QTR834,OTHH,VTBS
Fri 12:18:54,24.8564,54.6463,82.0,514.0,592.0,10493.0,381.0, FlightAware ADS-B  (RKT / OMRK) ,30.0,263.1111111111111,7893.333333333332,1.4954735001819357,OnGoing,QTR834,OTHH,VTBS
