station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,skyc1,skyl1,wxcodes,feel,metar,day,month,year,hr,min
OTHH,2022-10-06 21:00:00,51.6084,25.2746,-3.72,86.0,80.6,83.99,350.0,7.0,0.0,29.68,5.59,NSC,,HZ,101.9,OTHH 062100Z 35007KT 9000 NSC 30/27 Q1005 NOSIG,6,10,2022,21,0
OTHH,2022-10-06 22:00:00,51.6084,25.2746,-3.72,86.0,80.6,83.99,340.0,5.0,0.0,29.68,5.59,NSC,,HZ,101.9,OTHH 062200Z 34005KT 9000 NSC 30/27 Q1005 NOSIG,6,10,2022,22,0
OTHH,2022-10-06 23:00:00,51.6084,25.2746,-3.72,84.2,78.8,83.88,,2.0,0.0,29.68,5.59,NSC,,HZ,96.1,OTHH 062300Z VRB02KT 9000 NSC 29/26 Q1005 NOSIG,6,10,2022,23,0
OTHH,2022-10-07 01:00:00,51.6084,25.2746,-3.72,82.4,77.0,83.77,,2.0,0.0,29.68,5.59,NSC,,HZ,90.85,OTHH 070100Z VRB02KT 9000 NSC 28/25 Q1005 NOSIG,7,10,2022,1,0
OTHH,2022-10-07 02:00:00,51.6084,25.2746,-3.72,82.4,77.0,83.77,310.0,4.0,0.0,29.71,5.59,NSC,,HZ,90.85,OTHH 070200Z 31004KT 9000 NSC 28/25 Q1006 NOSIG,7,10,2022,2,0
OTHH,2022-10-07 03:00:00,51.6084,25.2746,-3.72,84.2,77.0,79.04,300.0,8.0,0.0,29.71,4.35,NSC,,HZ,94.16,OTHH 070300Z 30008KT 7000 NSC 29/25 Q1006 NOSIG,7,10,2022,3,0
OTHH,2022-10-07 04:00:00,51.6084,25.2746,-3.72,84.2,77.0,79.04,300.0,7.0,0.0,29.71,5.59,NSC,,HZ,94.16,OTHH 070400Z 30007KT 9000 NSC 29/25 Q1006 NOSIG,7,10,2022,4,0
OTHH,2022-10-07 11:00:00,51.6084,25.2746,-3.72,93.2,77.0,59.47,80.0,7.0,0.0,29.68,5.59,NSC,,HZ,107.52,OTHH 071100Z 08007KT 9000 NSC 34/25 Q1005 NOSIG,7,10,2022,11,0
OTHH,2022-10-07 12:00:00,51.6084,25.2746,-3.72,95.0,75.2,52.98,90.0,7.0,0.0,29.65,5.59,NSC,,HZ,107.39,OTHH 071200Z 09007KT 9000 NSC 35/24 Q1004 NOSIG,7,10,2022,12,0
OTHH,2022-10-07 22:00:00,51.6084,25.2746,-3.72,87.8,78.8,74.77,60.0,6.0,0.0,29.71,5.59,NSC,,HZ,102.37,OTHH 072200Z 06006KT 9000 NSC 31/26 Q1006 NOSIG,7,10,2022,22,0
